"Date","Spot exchange rate, US $ into Sterling  						[a] [a] [a] 						XUDLUSS"
"24 May 22","1.2525"
"23 May 22","1.2571"
"20 May 22","1.2466"
"19 May 22","1.2489"
"18 May 22","1.2413"
"17 May 22","1.247"
"16 May 22","1.225"
"13 May 22","1.222"
"12 May 22","1.2228"
"11 May 22","1.234"
"10 May 22","1.2313"
"09 May 22","1.2306"
"06 May 22","1.235"
"05 May 22","1.2374"
"04 May 22","1.2499"
"03 May 22","1.2514"
"29 Apr 22","1.2556"
"28 Apr 22","1.2439"
"27 Apr 22","1.2503"
"26 Apr 22","1.2621"
"25 Apr 22","1.2717"
"22 Apr 22","1.2843"
"21 Apr 22","1.3031"
"20 Apr 22","1.3048"
"19 Apr 22","1.299"
"14 Apr 22","1.3048"
"13 Apr 22","1.3038"
"12 Apr 22","1.3038"
"11 Apr 22","1.3041"
"08 Apr 22","1.3007"
"07 Apr 22","1.3066"
"06 Apr 22","1.3094"
"05 Apr 22","1.3114"
"04 Apr 22","1.3116"
"01 Apr 22","1.3109"
"31 Mar 22","1.3162"
"30 Mar 22","1.3173"
"29 Mar 22","1.3136"
"28 Mar 22","1.3089"
"25 Mar 22","1.3192"
"24 Mar 22","1.3184"
"23 Mar 22","1.3211"
"22 Mar 22","1.326"
"21 Mar 22","1.3202"
"18 Mar 22","1.3173"
"17 Mar 22","1.3157"
"16 Mar 22","1.3095"
"15 Mar 22","1.3067"
"14 Mar 22","1.3047"
"11 Mar 22","1.3085"
"10 Mar 22","1.313"
"09 Mar 22","1.3158"
"08 Mar 22","1.3111"
"07 Mar 22","1.3135"
"04 Mar 22","1.3215"
"03 Mar 22","1.3341"
"02 Mar 22","1.3315"
"01 Mar 22","1.3352"
"28 Feb 22","1.3419"
"25 Feb 22","1.3416"
"24 Feb 22","1.3275"
"23 Feb 22","1.356"
"22 Feb 22","1.3591"
"21 Feb 22","1.3607"
"18 Feb 22","1.3584"
"17 Feb 22","1.362"
"16 Feb 22","1.3578"
"15 Feb 22","1.3522"
"14 Feb 22","1.3513"
"11 Feb 22","1.3603"
"10 Feb 22","1.3616"
"09 Feb 22","1.3546"
"08 Feb 22","1.3553"
"07 Feb 22","1.353"
"04 Feb 22","1.353"
"03 Feb 22","1.361"
"02 Feb 22","1.3572"
"01 Feb 22","1.3506"
"31 Jan 22","1.3418"
"28 Jan 22","1.3415"
"27 Jan 22","1.339"
"26 Jan 22","1.3513"
"25 Jan 22","1.3486"
"24 Jan 22","1.3464"
"21 Jan 22","1.3559"
"20 Jan 22","1.3659"
"19 Jan 22","1.359"
"18 Jan 22","1.3582"
"17 Jan 22","1.365"
"14 Jan 22","1.3683"
"13 Jan 22","1.3734"
"12 Jan 22","1.3687"
"11 Jan 22","1.3605"
"10 Jan 22","1.3561"
"07 Jan 22","1.3572"
"06 Jan 22","1.3527"
"05 Jan 22","1.3565"
"04 Jan 22","1.3553"
"31 Dec 21","1.3477"
"30 Dec 21","1.3499"
"29 Dec 21","1.3486"
"24 Dec 21","1.3413"
"23 Dec 21","1.341"
"22 Dec 21","1.3345"
"21 Dec 21","1.3233"
"20 Dec 21","1.3221"
"17 Dec 21","1.3263"
"16 Dec 21","1.3327"
"15 Dec 21","1.3214"
"14 Dec 21","1.3233"
"13 Dec 21","1.3231"
"10 Dec 21","1.3228"
"09 Dec 21","1.3206"
"08 Dec 21","1.3216"
"07 Dec 21","1.3235"
"06 Dec 21","1.3236"
"03 Dec 21","1.3219"
"02 Dec 21","1.3307"
"01 Dec 21","1.3315"
"30 Nov 21","1.3233"
"29 Nov 21","1.3295"
"26 Nov 21","1.3336"
"25 Nov 21","1.3319"
"24 Nov 21","1.333"
"23 Nov 21","1.337"
"22 Nov 21","1.3402"
"19 Nov 21","1.3462"
"18 Nov 21","1.3477"
"17 Nov 21","1.3465"
"16 Nov 21","1.3421"
"15 Nov 21","1.3431"
"12 Nov 21","1.3394"
"11 Nov 21","1.3392"
"10 Nov 21","1.3475"
"09 Nov 21","1.3551"
"08 Nov 21","1.3563"
"05 Nov 21","1.3492"
"04 Nov 21","1.3492"
"03 Nov 21","1.3659"
"02 Nov 21","1.3611"
"01 Nov 21","1.3678"
"29 Oct 21","1.3706"
"28 Oct 21","1.38"
"27 Oct 21","1.3713"
"26 Oct 21","1.3784"
"25 Oct 21","1.3771"
"22 Oct 21","1.3772"
"21 Oct 21","1.3821"
"20 Oct 21","1.3816"
"19 Oct 21","1.3799"
"18 Oct 21","1.372"
"15 Oct 21","1.3769"
"14 Oct 21","1.3683"
"13 Oct 21","1.3633"
"12 Oct 21","1.3601"
"11 Oct 21","1.3626"
"08 Oct 21","1.3637"
"07 Oct 21","1.3622"
"06 Oct 21","1.3569"
"05 Oct 21","1.3624"
"04 Oct 21","1.3605"
"01 Oct 21","1.354"
"30 Sep 21","1.3484"
"29 Sep 21","1.3425"
"28 Sep 21","1.3537"
"27 Sep 21","1.3708"
"24 Sep 21","1.3672"
"23 Sep 21","1.3745"
"22 Sep 21","1.3645"
"21 Sep 21","1.3644"
"20 Sep 21","1.3665"
"17 Sep 21","1.3749"
"16 Sep 21","1.3782"
"15 Sep 21","1.3828"
"14 Sep 21","1.385"
"13 Sep 21","1.3848"
"10 Sep 21","1.3855"
"09 Sep 21","1.3844"
"08 Sep 21","1.3737"
"07 Sep 21","1.3783"
"06 Sep 21","1.3827"
"03 Sep 21","1.3871"
"02 Sep 21","1.3833"
"01 Sep 21","1.3786"
"31 Aug 21","1.3761"
"27 Aug 21","1.3747"
"26 Aug 21","1.3715"
"25 Aug 21","1.3731"
"24 Aug 21","1.3732"
"23 Aug 21","1.3714"
"20 Aug 21","1.3613"
"19 Aug 21","1.3661"
"18 Aug 21","1.3756"
"17 Aug 21","1.3738"
"16 Aug 21","1.3858"
"13 Aug 21","1.3853"
"12 Aug 21","1.3835"
"11 Aug 21","1.3868"
"10 Aug 21","1.3847"
"09 Aug 21","1.3848"
"06 Aug 21","1.3868"
"05 Aug 21","1.3933"
"04 Aug 21","1.3908"
"03 Aug 21","1.3892"
"02 Aug 21","1.3898"
"30 Jul 21","1.3907"
"29 Jul 21","1.3975"
"28 Jul 21","1.3871"
"27 Jul 21","1.3881"
"26 Jul 21","1.3824"
"23 Jul 21","1.375"
"22 Jul 21","1.3756"
"21 Jul 21","1.3675"
"20 Jul 21","1.3605"
"19 Jul 21","1.367"
"16 Jul 21","1.379"
"15 Jul 21","1.3863"
"14 Jul 21","1.3869"
"13 Jul 21","1.3842"
"12 Jul 21","1.3894"
"09 Jul 21","1.3839"
"08 Jul 21","1.3761"
"07 Jul 21","1.3777"
"06 Jul 21","1.3807"
"05 Jul 21","1.384"
"02 Jul 21","1.3783"
"01 Jul 21","1.377"
"30 Jun 21","1.3819"
"29 Jun 21","1.3837"
"28 Jun 21","1.3885"
"25 Jun 21","1.3914"
"24 Jun 21","1.3895"
"23 Jun 21","1.3969"
"22 Jun 21","1.3916"
"21 Jun 21","1.3905"
"18 Jun 21","1.3807"
"17 Jun 21","1.3951"
"16 Jun 21","1.4104"
"15 Jun 21","1.4083"
"14 Jun 21","1.4115"
"11 Jun 21","1.4123"
"10 Jun 21","1.4142"
"09 Jun 21","1.4127"
"08 Jun 21","1.415"
"07 Jun 21","1.4168"
"04 Jun 21","1.4172"
"03 Jun 21","1.418"
"02 Jun 21","1.4165"
"01 Jun 21","1.4173"
"28 May 21","1.4176"
"27 May 21","1.4181"
"26 May 21","1.4124"
"25 May 21","1.4133"
"24 May 21","1.4158"
"21 May 21","1.4162"
"20 May 21","1.4155"
"19 May 21","1.4145"
"18 May 21","1.4211"
"17 May 21","1.4118"
"14 May 21","1.4088"
"13 May 21","1.4046"
"12 May 21","1.4096"
"11 May 21","1.4144"
"10 May 21","1.4138"
"07 May 21","1.3979"
"06 May 21","1.3888"
"05 May 21","1.391"
"04 May 21","1.3883"
"30 Apr 21","1.3845"
"29 Apr 21","1.3945"
"28 Apr 21","1.3906"
"27 Apr 21","1.3915"
"26 Apr 21","1.3894"
"23 Apr 21","1.3841"
"22 Apr 21","1.3846"
"21 Apr 21","1.3929"
"20 Apr 21","1.395"
"19 Apr 21","1.3984"
"16 Apr 21","1.3817"
"15 Apr 21","1.3795"
"14 Apr 21","1.3781"
"13 Apr 21","1.3732"
"12 Apr 21","1.3744"
"09 Apr 21","1.3729"
"08 Apr 21","1.3731"
"07 Apr 21","1.3788"
"06 Apr 21","1.3858"
"01 Apr 21","1.3819"
"31 Mar 21","1.3796"
"30 Mar 21","1.3711"
"29 Mar 21","1.3772"
"26 Mar 21","1.3792"
"25 Mar 21","1.3722"
"24 Mar 21","1.3722"
"23 Mar 21","1.3793"
"22 Mar 21","1.3855"
"19 Mar 21","1.3872"
"18 Mar 21","1.3939"
"17 Mar 21","1.3889"
"16 Mar 21","1.3892"
"15 Mar 21","1.3862"
"12 Mar 21","1.3893"
"11 Mar 21","1.3969"
"10 Mar 21","1.3904"
"09 Mar 21","1.3893"
"08 Mar 21","1.3812"
"05 Mar 21","1.3817"
"04 Mar 21","1.3991"
"03 Mar 21","1.3974"
"02 Mar 21","1.3948"
"01 Mar 21","1.3938"
"26 Feb 21","1.3976"
"25 Feb 21","1.4134"
"24 Feb 21","1.4103"
"23 Feb 21","1.4106"
"22 Feb 21","1.4052"
"19 Feb 21","1.4022"
"18 Feb 21","1.3947"
"17 Feb 21","1.3853"
"16 Feb 21","1.3926"
"15 Feb 21","1.3912"
"12 Feb 21","1.3849"
"11 Feb 21","1.3826"
"10 Feb 21","1.3845"
"09 Feb 21","1.3796"
"08 Feb 21","1.374"
"05 Feb 21","1.3724"
"04 Feb 21","1.3659"
"03 Feb 21","1.3644"
"02 Feb 21","1.3629"
"01 Feb 21","1.3663"
"29 Jan 21","1.3728"
"28 Jan 21","1.3719"
"27 Jan 21","1.3704"
"26 Jan 21","1.3742"
"25 Jan 21","1.3671"
"22 Jan 21","1.367"
"21 Jan 21","1.372"
"20 Jan 21","1.363"
"19 Jan 21","1.3618"
"18 Jan 21","1.3575"
"15 Jan 21","1.3585"
"14 Jan 21","1.3691"
"13 Jan 21","1.3634"
"12 Jan 21","1.3624"
"11 Jan 21","1.3492"
"08 Jan 21","1.359"
"07 Jan 21","1.3544"
"06 Jan 21","1.355"
"05 Jan 21","1.3593"
"04 Jan 21","1.3579"


